timestamp,lmp_usd_mwh,solar_kw,demand_kw
2025-04-07T00:00:00,14.3912,1.1727,4.1815
2025-04-07T01:00:00,-9.3138,0.7829,4.9485
2025-04-07T02:00:00,14.2504,0.5197,4.46
2025-04-07T03:00:00,13.9768,0.4396,4.4428
2025-04-07T04:00:00,38.4796,0.7107,4.2043
2025-04-07T05:00:00,20.3413,0.0,5.1935
2025-04-07T06:00:00,32.3689,0.0,8.4817
2025-04-07T07:00:00,21.1817,8.4126,10.5484
2025-04-07T08:00:00,11.3092,12.8111,9.1552
2025-04-07T09:00:00,2.7528,19.778,9.7706
2025-04-07T10:00:00,19.1404,25.9303,8.0065
2025-04-07T11:00:00,36.793,27.6535,9.3601
2025-04-07T12:00:00,24.375,28.4955,7.4646
2025-04-07T13:00:00,22.2271,29.4461,8.357
2025-04-07T14:00:00,22.0886,27.9412,7.5766
2025-04-07T15:00:00,-7.7327,24.0197,8.4282
2025-04-07T16:00:00,30.1934,18.0251,8.0866
2025-04-07T17:00:00,32.7618,12.6159,11.2769
2025-04-07T18:00:00,27.8551,5.465,11.3789
2025-04-07T19:00:00,35.3938,1.6246,11.7269
2025-04-07T20:00:00,6.317,0.0,11.4575
2025-04-07T21:00:00,34.6888,0.7726,9.9264
2025-04-07T22:00:00,19.0564,1.7033,8.477
2025-04-07T23:00:00,20.2639,0.0,5.1795
