timestamp,lmp_usd_mwh,solar_kw,demand_kw
2025-03-17T00:00:00,35.8626,2.347,10.6901
2025-03-17T01:00:00,48.7285,0.1306,11.8505
2025-03-17T02:00:00,37.7764,0.0,11.8902
2025-03-17T03:00:00,41.7567,2.2168,11.7409
2025-03-17T04:00:00,24.2726,0.0,12.4577
2025-03-17T05:00:00,41.3313,0.0,12.2566
2025-03-17T06:00:00,53.4562,1.453,19.649
2025-03-17T07:00:00,47.0851,6.5913,23.2682
2025-03-17T08:00:00,56.4418,14.3333,24.0026
2025-03-17T09:00:00,48.4812,17.7706,23.7897
2025-03-17T10:00:00,46.8593,23.4861,19.9194
2025-03-17T11:00:00,58.0608,30.8798,20.0873
2025-03-17T12:00:00,55.8633,29.6696,19.0406
2025-03-17T13:00:00,51.6023,29.8716,21.2316
2025-03-17T14:00:00,49.1146,28.5028,19.9826
2025-03-17T15:00:00,34.4698,26.4038,20.376
2025-03-17T16:00:00,105.4655,18.5296,20.7014
2025-03-17T17:00:00,72.5722,14.822,29.0952
2025-03-17T18:00:00,78.742,6.33,28.0498
2025-03-17T19:00:00,86.0479,0.0,28.0343
2025-03-17T20:00:00,77.6654,0.7104,27.5403
2025-03-17T21:00:00,116.849,0.0,19.839
2025-03-17T22:00:00,48.6028,0.0,20.1137
2025-03-17T23:00:00,56.0071,0.0,12.0923
