timestamp,lmp_usd_mwh,solar_kw,demand_kw
2025-03-10T00:00:00,38.9507,0.0,11.1238
2025-03-10T01:00:00,54.3454,0.0,10.6829
2025-03-10T02:00:00,55.1882,1.1512,10.5653
2025-03-10T03:00:00,39.6384,0.0,10.5671
2025-03-10T04:00:00,35.1294,0.0,9.9375
2025-03-10T05:00:00,23.0657,0.0,10.9571
2025-03-10T06:00:00,31.3796,0.0,18.7328
2025-03-10T07:00:00,41.6134,7.2808,20.8876
2025-03-10T08:00:00,36.8343,14.1081,21.0245
2025-03-10T09:00:00,50.6355,18.9927,21.4542
2025-03-10T10:00:00,35.9744,27.4679,17.9933
2025-03-10T11:00:00,29.1343,29.2843,17.3896
2025-03-10T12:00:00,48.133,26.8418,17.3359
2025-03-10T13:00:00,47.9529,30.889,18.0857
2025-03-10T14:00:00,43.2653,27.5988,17.2607
2025-03-10T15:00:00,34.2023,23.9986,18.5286
2025-03-10T16:00:00,86.1543,17.2491,18.162
2025-03-10T17:00:00,75.2238,12.9263,25.5058
2025-03-10T18:00:00,96.465,8.5764,24.7804
2025-03-10T19:00:00,76.3618,0.4969,25.6878
2025-03-10T20:00:00,73.8124,0.0,24.6468
2025-03-10T21:00:00,63.0569,1.2188,18.6781
2025-03-10T22:00:00,30.4198,1.5053,18.1808
2025-03-10T23:00:00,21.8232,0.5421,11.569
