timestamp,lmp_usd_mwh,solar_kw,demand_kw
2025-05-05T00:00:00,42.0902,2.2991,11.3456
2025-05-05T01:00:00,40.3257,1.0352,11.1994
2025-05-05T02:00:00,37.6614,0.0189,11.4488
2025-05-05T03:00:00,22.7049,0.0368,11.649
2025-05-05T04:00:00,56.0672,1.4389,12.4766
2025-05-05T05:00:00,22.7898,1.3085,11.4917
2025-05-05T06:00:00,81.847,0.0,18.5801
2025-05-05T07:00:00,40.0091,3.9936,22.5371
2025-05-05T08:00:00,37.613,14.1673,22.9709
2025-05-05T09:00:00,77.1426,21.3193,22.5115
2025-05-05T10:00:00,35.5238,25.4274,18.3399
2025-05-05T11:00:00,76.4719,29.8196,18.7654
2025-05-05T12:00:00,23.303,31.8121,18.9427
2025-05-05T13:00:00,67.5672,27.3896,18.7003
2025-05-05T14:00:00,49.0787,28.121,18.775
2025-05-05T15:00:00,58.3427,23.0881,18.9288
2025-05-05T16:00:00,90.0044,20.6653,19.3558
2025-05-05T17:00:00,71.3304,11.6405,27.2388
2025-05-05T18:00:00,93.1847,6.0567,27.3756
2025-05-05T19:00:00,89.9351,1.7689,26.6338
2025-05-05T20:00:00,119.1112,2.633,26.4755
2025-05-05T21:00:00,102.7736,0.9681,19.6843
2025-05-05T22:00:00,19.8261,1.0291,19.5292
2025-05-05T23:00:00,7.9189,0.0,10.3804
