timestamp,lmp_usd_mwh,solar_kw,demand_kw
2025-04-15T00:00:00,31.1076,0.0,12.9573
2025-04-15T01:00:00,43.9281,3.472,12.2664
2025-04-15T02:00:00,52.9939,0.0,12.964
2025-04-15T03:00:00,59.0343,0.0964,12.6611
2025-04-15T04:00:00,31.9704,1.0194,12.8348
2025-04-15T05:00:00,45.9469,0.0684,12.8742
2025-04-15T06:00:00,93.1592,0.9509,20.9874
2025-04-15T07:00:00,63.7968,6.1868,26.8262
2025-04-15T08:00:00,49.1122,13.7696,26.6525
2025-04-15T09:00:00,73.9863,18.0932,26.2327
2025-04-15T10:00:00,53.8758,23.7095,22.8827
2025-04-15T11:00:00,67.0747,26.1592,22.4589
2025-04-15T12:00:00,92.8323,31.33,21.2403
2025-04-15T13:00:00,53.7365,31.6816,21.6462
2025-04-15T14:00:00,67.6573,29.2124,21.5365
2025-04-15T15:00:00,60.1071,19.8276,21.4878
2025-04-15T16:00:00,106.0115,18.022,22.8162
2025-04-15T17:00:00,88.3479,13.2816,30.8654
2025-04-15T18:00:00,131.4191,5.0257,31.3816
2025-04-15T19:00:00,109.9535,0.0,31.0311
2025-04-15T20:00:00,112.7859,0.0,30.8349
2025-04-15T21:00:00,104.0203,0.1703,22.3311
2025-04-15T22:00:00,66.4903,0.0,23.0665
2025-04-15T23:00:00,13.4187,0.0,13.4942
